,room,room_type,campus
366,И-204-в,комп,"Проспект Вернадского, д.78"
367,И-205-а,комп,"Проспект Вернадского, д.78"
368,И-205-б,комп,"Проспект Вернадского, д.78"
369,И-212-а,комп,"Проспект Вернадского, д.78"
370,И-212-б,комп,"Проспект Вернадского, д.78"
371,И-212-в,комп,"Проспект Вернадского, д.78"
372,И-212-г,комп,"Проспект Вернадского, д.78"
373,И-212-д,комп,"Проспект Вернадского, д.78"
374,И-300,ауд,"Проспект Вернадского, д.78"
375,И-302,ауд,"Проспект Вернадского, д.78"
376,И-303,ауд,"Проспект Вернадского, д.78"
377,И-304,ауд,"Проспект Вернадского, д.78"
378,И-305,ауд,"Проспект Вернадского, д.78"
379,И-306,ауд,"Проспект Вернадского, д.78"
380,И-307,ауд,"Проспект Вернадского, д.78"
381,И-308,ауд,"Проспект Вернадского, д.78"
382,И-309,ауд,"Проспект Вернадского, д.78"
383,И-310,ауд,"Проспект Вернадского, д.78"
384,И-311,ауд,"Проспект Вернадского, д.78"
385,И-312,ауд,"Проспект Вернадского, д.78"
386,И-313,ауд,"Проспект Вернадского, д.78"
387,И-314,ауд,"Проспект Вернадского, д.78"
388,И-315,ауд,"Проспект Вернадского, д.78"
389,И-316,ауд,"Проспект Вернадского, д.78"
390,И-317,ауд,"Проспект Вернадского, д.78"
391,И-318,ауд,"Проспект Вернадского, д.78"
392,И-319,ауд,"Проспект Вернадского, д.78"
393,И-320,ауд,"Проспект Вернадского, д.78"
394,И-321,ауд,"Проспект Вернадского, д.78"
395,И-322,ауд,"Проспект Вернадского, д.78"
396,И-323,ауд,"Проспект Вернадского, д.78"
397,И-324,ауд,"Проспект Вернадского, д.78"
398,И-325,ауд,"Проспект Вернадского, д.78"
399,И-326,ауд,"Проспект Вернадского, д.78"
400,И-327,ауд,"Проспект Вернадского, д.78"
401,И-328,ауд,"Проспект Вернадского, д.78"
402,И-329,ауд,"Проспект Вернадского, д.78"
403,И-330,ауд,"Проспект Вернадского, д.78"
404,И-333,ауд,"Проспект Вернадского, д.78"
405,К-113,ауд,"Проспект Вернадского, д.86"
406,К-2,ауд,"Проспект Вернадского, д.86"
407,К-206,ауд,"Проспект Вернадского, д.86"
408,К-3,ауд,"Проспект Вернадского, д.86"
409,К-4,ауд,"Проспект Вернадского, д.86"
410,К-8,ауд,"Проспект Вернадского, д.86"
411,М-105,лаб,"Проспект Вернадского, д.86"
412,М-106,лаб,"Проспект Вернадского, д.86"
